"filename", "language", "JSON", "JavaScript", "CSS", "wxs", "wxml", "Markdown", "comment", "blank", "total"
"d:\project\travel\miniprogram\pages\startForm\editor\index.wxss", "CSS", 0, 0, 78, 0, 0, 0, 17, 7, 102
"d:\project\travel\miniprogram\pages\startForm\startForm.js", "JavaScript", 0, 279, 0, 0, 0, 0, 71, 13, 363
"d:\project\travel\miniprogram\pages\startForm\startForm.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\project\travel\miniprogram\pages\startForm\startForm.wxml", "wxml", 0, 0, 0, 0, 162, 0, 11, 5, 178
"d:\project\travel\miniprogram\pages\startForm\startForm.wxs", "wxs", 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\project\travel\miniprogram\pages\startForm\startForm.wxss", "CSS", 0, 0, 27, 0, 0, 0, 4, 3, 34
"d:\project\travel\miniprogram\pages\start\start.js", "JavaScript", 0, 27, 0, 0, 0, 0, 35, 10, 72
"d:\project\travel\miniprogram\pages\start\start.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\project\travel\miniprogram\pages\start\start.wxml", "wxml", 0, 0, 0, 0, 0, 0, 1, 2, 3
"d:\project\travel\miniprogram\pages\start\start.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\project\travel\miniprogram\pages\user\about\about.js", "JavaScript", 0, 20, 0, 0, 0, 0, 28, 18, 66
"d:\project\travel\miniprogram\pages\user\about\about.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\project\travel\miniprogram\pages\user\about\about.wxml", "wxml", 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\project\travel\miniprogram\pages\user\about\about.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\project\travel\miniprogram\pages\user\record\record.js", "JavaScript", 0, 52, 0, 0, 0, 0, 32, 18, 102
"d:\project\travel\miniprogram\pages\user\record\record.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\project\travel\miniprogram\pages\user\record\record.wxml", "wxml", 0, 0, 0, 0, 15, 0, 1, 1, 17
"d:\project\travel\miniprogram\pages\user\record\record.wxss", "CSS", 0, 0, 4, 0, 0, 0, 2, 1, 7
"d:\project\travel\miniprogram\pages\user\reward\reward.js", "JavaScript", 0, 20, 0, 0, 0, 0, 28, 18, 66
"d:\project\travel\miniprogram\pages\user\reward\reward.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 3
